,,,Fat,Cholesterol,Sodium,Potassium,Total carbohydrate,Protein
,,,(g),,,,,
Dairy,Yoghurt (diluted half with water),in 1g,0.02,0.00005,0.000325,0,0.04,0.085
,Cream,in 1ml,0.333333333,0.001333333,0.000666667,0,0.066666667,0.066666667
,Milk 0% fat,in 1ml,0,2.08333E-05,0.000541667,0,0.054166667,0.0375
,Milk 1% fat,in 1ml,0.01,6.02083E-05,0.000545417,0,0.054541667,0.038375
,Milk 2% fat,in 1ml,0.02,9.95833E-05,0.000549167,0,0.054916667,0.03925
,Milk 3.4% fat,in 1ml,0.034,0.000154708,0.000554417,0,0.055441667,0.040475
,Half and half,in 1ml,0.166666667,0.000677083,0.000604167,0,0.060416667,0.052083333
Juice,Apple juice,in 1ml,0,0,0.000145833,0,0.116666667,0
,Cranberry juice,in 1ml,0,0,0.000145833,0.000125,0.1375,0
,Grape juice,in 1ml,0,0,0.000145833,0,0.166666667,0
,Tomato juice,in 1ml,0,0,0.002833333,0.001791667,0.041666667,0.008333333
,Orange juice,in 1ml,0,0,0,0.001875,0.108333333,0.008333333
Soups and broths,Vege soup,in 1g,0,0,0.002918033,0,0.08852459,0.009836066
,Beef broth,in 1ml,0,0,0.003708333,0,0.004166667,0.008333333
,Chicken broth,in 1ml,0.002083333,2.08333E-05,0.004,0,0.004166667,0.004166667
Others,Tomato paste (diluted half with water),in 1g,0,0,0.000606061,0,0.181818182,0.060606061
,Soy bean milk,in 1ml,0.014583333,0,0.000333333,0,0.0375,0.029166667